"","AbsOrder","SeaNum","EpiNum","EpiTitle","AirDate","WritBy","DirBy","EpiPlot","imdbRating","imdbVotes","EpiLength"
"58",58,"6","1","Mac Fights Gay Marriage","16 Sep 2010","Becky Mann, Audra Sielaff","Randall Einhorn","Mac pulls out the big guns to protect the sanctity of marriage, while the rest of the gang reap the rewards of marital bliss.","8.0","523","22 min"
"59",59,"6","2","Dennis Gets Divorced","23 Sep 2010","Dave Chernin, John Chernin","Randall Einhorn","Marital bliss turns to marital business, as the gang experiences the emotional and economic tribulations of divorce.","7.8","464","22 min"
"60",60,"6","3","The Gang Buys a Boat","30 Sep 2010","Charlie Day, Rob McElhenney","Randall Einhorn","The gang attempts to open themselves up to the adventures of the sea after they purchase their 'new' boat.","8.8","587","22 min"
"61",61,"6","4","Mac's Big Break","07 Oct 2010","Rob Rosell","Randall Einhorn","After Mac wins a radio contest to score a goal on the Flyers' ice, he and Charlie train for the event - badly, while Dennis and Dee start their own radio program.","8.4","470","22 min"
"62",62,"6","5","Mac and Charlie: White Trash","14 Oct 2010","Luvh Rakhe","Randall Einhorn","Mac & Charlie attempt to fix up their old pool after getting rejected by a country club, Dennis, Dee, and Frank attempt to gain entry to the club.","8.2","457","22 min"
"63",63,"6","6","Mac's Mom Burns Her House Down","21 Oct 2010","Scott Marder, Rob Rosell","Matt Shakman","Charlie and Mac set-up a truly odd couple after Mac's Mom burns the house down, while Frank discovers the importance of paternal care when Dee falls ill.","8.0","446","22 min"
"64",64,"6","7","Who Got Dee Pregnant?","28 Oct 2010","Charlie Day, Rob McElhenney","Randall Einhorn","The gang gets a real 'scare' after Dee reveals she's pregnant, forcing the guys to recall their last hazy Halloween Party to determine if one of them might be the father.","9.0","588","22 min"
"65",65,"6","8","The Gang Gets a New Member","04 Nov 2010","David Hornsby","Matt Shakman","A blast from the past prompts the guys to expand membership, and Dee to re-consider her future.","8.1","442","22 min"
"66",66,"6","9","Dee Reynolds: Shaping America's Youth","11 Nov 2010","David Hornsby","Matt Shakman","Motivated by the drama teacher who inspired her, Dee takes a job as a substitute teacher and exposes her students to the culture of Paddy's with a field trip to see the Gang's take on the Lethal Weapon series: Lethal Weapon 5.","8.9","552","22 min"
"67",67,"6","10","Charlie Kelly: King of the Rats","18 Nov 2010","Scott Marder, Rob Rosell","Matt Shakman","When keeping the basement rodent-free drives Charlie to the brink, the gang decides to put the cynicism aside and throw a surprise party to cheer him up.","8.5","479","22 min"
"68",68,"6","11","The Gang Gets Stranded in the Woods","02 Dec 2010","Scott Marder (teleplay), Rob Rosell (teleplay), Luvh Rakhe (story)","Matt Shakman","Things go awry as the Gang travels to Atlantic City for a charity benefit. While Frank, Dee and Mac try to survive in the woods, Dennis and Charlie hitch a ride to the city and have the night of their lives.","8.6","458","22 min"
"69",69,"6","12","Dee Gives Birth","09 Dec 2010","David Hornsby, Becky Mann, Audra Sielaff","Matt Shakman","Before Dee's baby arrives, The Gang tries to figure out who is the father by throwing a house party for all her former flings.","8.6","445","22 min"
"70",70,"6","13","A Very Sunny Christmas","09 Dec 2010","David Hornsby, Becky Mann, Audra Sielaff, Charlie Day, Chadd Gindin (staff writer)","Fred Savage, Matt Shakman","After years of being mistreated by Frank during the holiday season when he buys gifts for himself, Dennis and Dee decide to teach him a lesson by contacting his old business partner, Eugene...","9.1","1691","43 min"
"71",71,"7","1","Frank's Pretty Woman","15 Sep 2011","Scott Marder, Rob Rosell","Matt Shakman","When Frank decides to marry a prostitute, the gang tries to uncover her heart of gold.","8.8","678","22 min"
"72",72,"7","2","The Gang Goes to the Jersey Shore","22 Sep 2011","Dave Chernin, John Chernin","Matt Shakman","Dennis and Dee take the gang to their favorite childhood vacation spot, but things aren't quite how they remembered them.","9.1","741","22 min"
"73",73,"7","3","Frank Reynolds' Little Beauties","29 Sep 2011","Scott Marder, Rob Rosell","Matt Shakman","The gang hosts a child beauty pageant at the bar.","8.3","596","30 min"
"74",74,"7","4","Sweet Dee Gets Audited","06 Oct 2011","Rob McElhenney, Glenn Howerton, Charlie Day","Matt Shakman","Dee faces an IRS audit over her claim that the baby she carried as a surrogate is her dependent, while the guys decide to run the bar in an unemotional, democratic manner rather than their typical method of shouting and personal attacks.","8.0","467","22 min"
"75",75,"7","5","Frank's Brother","13 Oct 2011","David Hornsby","Matt Shakman","When Frank's long lost brother Gino shows up at the bar, the two of them tell the gang about the jazz club they ran in the 1960s and 70s, and how they fell out over Shadynasty, a singer who was the love of both of their lives.","7.1","586","22 min"
"76",76,"7","6","The Storm of the Century","20 Oct 2011","Charlie Hornsby","Matt Shakman","As a hurricane threatens Philadelphia, Mac, Dennis and Charlie go to a mall to buy supplies and check out the large breasted TV reporter broadcasting from there, while Frank and Dee prepare Paddy's, and its basement bunker, for the storm.","8.3","551","22 min"
"77",77,"7","7","Chardee MacDennis: The Game of Games","27 Oct 2011","Charlie Day, Rob McElhenney","Matt Shakman","On a day of ultimate boredom and listlessness, the gang breaks out a homemade board game, created by Mac, Dee, Charlie, and Dennis.","9.0","726","22 min"
